date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
2016/04/21,pe,1,172334,14WWzenpaEgQZlqPq2nk4v,"['Rihanna', 'Drake']","['pop', 'urban contemporary', 'canadian pop', 'barbadian pop', 'toronto rap', 'canadian hip hop', 'dance pop', 'hip hop', 'rap']",219320,True,Work
2019/10/31,nz,45,108453,6u7jPi22kF8CTQ3rb9DHE7,"['Lil Nas X', 'Billy Ray Cyrus']","['country', 'pop', 'lgbtq+ hip hop', 'country rock']",157066,False,Old Town Road (feat. Billy Ray Cyrus) - Remix
2018/07/26,cy,51,2009,6TX0BFrM0Hhqf2nNdop9Um,['Ilias Kampakakis'],"['greek pop', 'laiko']",250324,False,Sta Hilia Hronia Mia Fora
2017/01/26,sg,31,126203,4pLwZjInHj3SimIyN9SnOz,"['Ariana Grande', 'Nicki Minaj']","['queens hip hop', 'pop', 'hip pop', 'dance pop', 'rap']",226160,True,Side To Side
2019/06/20,pa,15,54722,5w9c2J52mkdntKOmRLeM2m,"['Daddy Yankee', 'Snow']","['trap latino', 'latin hip hop', 'reggae fusion', 'reggaeton', 'canadian old school hip hop']",193226,False,Con Calma
2019/01/17,sk,73,11363,76cy1WJvNGJTj78UqeA5zr,['Dua Lipa'],"['dance pop', 'pop', 'uk pop']",217946,True,IDGAF
2019/01/10,it,17,978582,2rgOAX5Cj3pk8JFnaPwJbd,"['Salmo', 'Fabri Fibra']","['italian underground hip hop', 'rap sardegna', 'italian hip hop', 'rap napoletano']",202573,True,STAI ZITTO (feat. Fabri Fibra)
2015/02/08,ca,155,14094,2QjOHCTQ1Jl3zawyYOpxh6,['The Neighbourhood'],"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",240400,False,Sweater Weather
2020/04/16,lu,190,2256,7rBP4bLjMLNkix1nGHjheP,['Angèle'],"['variete francaise', 'belgian pop']",196800,False,Oui ou non
2015/06/18,au,3,310130,6nsLzJfvp5OLd4mgqUJkpq,['Avicii'],"['pop rap', 'pop', 'pop dance', 'dance pop', 'edm']",230613,False,Waiting For Love
2017/02/02,sg,66,53499,1FUViuNSldssMIawrOXF2i,['Bebe Rexha'],"['dance pop', 'pop', 'post-teen pop', 'edm']",191811,False,I Got You
2018/06/07,nz,30,133900,0e7ipj03S05BNilyu5bRzt,"['Post Malone', '21 Savage']","['atl hip hop', 'melodic rap', 'dfw rap', 'rap']",218146,True,rockstar (feat. 21 Savage)
2020/08/13,se,178,130930,23vFYeIeVGp3HrXvN0ECVQ,['Einár'],"['swedish trap', 'swedish hip hop', 'swedish trap pop', 'swedish gangsta rap']",184329,True,Frank Lucas
2022/07/07,kr,149,17531,2BgEsaKNfHUdlh97KmvFyo,['Anne-Marie'],"['pop', 'uk pop', 'pop dance', 'dance pop', 'tropical house', 'post-teen pop']",186986,False,2002
2019/06/13,jp,36,170773,4IubwxgmXeZtDtYjTaT9gN,['Motohiro Hata'],"['japanese singer-songwriter', 'j-acoustic', 'j-rock', 'j-poprock', 'j-pop']",324053,False,鱗(うろこ)
