n,strategy,k,total_time_s,operation_time_total_ns
540,bruteforce,20,0.00028892100000010856,273665.0
540,unsorted_priorityqueue,20,0.0036338330000003083,3136694.0
540,sorted_priorityqueue,20,0.0010881189999993879,665159.0
540,heap_priorityqueue,20,0.0009088620000001768,490268.0
540,adaptable_heap_priorityqueue,20,0.0009288879999997945,506886.0
540,bounded_heap_queue,20,3.104799999942287e-05,0.0
889,bruteforce,20,0.0004551619999997314,440672.0
889,unsorted_priorityqueue,20,0.005919467999999206,5191465.0
889,sorted_priorityqueue,20,0.001689813000000484,1044040.0
889,heap_priorityqueue,20,0.0013963629999995675,761281.0
889,adaptable_heap_priorityqueue,20,0.0014110510000007181,770482.0
889,bounded_heap_queue,20,4.0936999999630075e-05,0.0
1210,bruteforce,20,0.0006091799999996539,594716.0
1210,unsorted_priorityqueue,20,0.007867727999999907,6922031.0
1210,sorted_priorityqueue,20,0.0022351640000000117,1373305.0
1210,heap_priorityqueue,20,0.0018525380000005143,1005481.0
1210,adaptable_heap_priorityqueue,20,0.001874910000000618,1021446.0
1210,bounded_heap_queue,20,6.072399999990097e-05,0.0
1415,bruteforce,20,0.0007032860000002472,688888.0
1415,unsorted_priorityqueue,20,0.009185189000000094,8087310.0
1415,sorted_priorityqueue,20,0.0025682859999998087,1576401.0
1415,heap_priorityqueue,20,0.002122164000000204,1153213.0
1415,adaptable_heap_priorityqueue,20,0.002159992000000166,1174925.0
1415,bounded_heap_queue,20,6.334900000037891e-05,0.0
1632,bruteforce,20,0.0008351729999995783,820354.0
1632,unsorted_priorityqueue,20,0.010593832000000525,9330429.0
1632,sorted_priorityqueue,20,0.0029235809999992313,1778266.0
1632,heap_priorityqueue,20,0.0024603269999996513,1334965.0
1632,adaptable_heap_priorityqueue,20,0.00245513800000019,1340378.0
1632,bounded_heap_queue,20,7.287599999994399e-05,0.0
1824,bruteforce,20,0.0009458499999999148,927834.0
1824,unsorted_priorityqueue,20,0.012073448000000653,10645425.0
1824,sorted_priorityqueue,20,0.0032969300000003088,2034303.0
1824,heap_priorityqueue,20,0.0027116750000004686,1469306.0
1824,adaptable_heap_priorityqueue,20,0.002718037000000173,1481507.0
1824,bounded_heap_queue,20,7.58419999993265e-05,0.0
2020,bruteforce,20,0.001025388999999599,1010813.0
2020,unsorted_priorityqueue,20,0.013269691999999722,11571775.0
2020,sorted_priorityqueue,20,0.0038904440000004925,2405383.0
2020,heap_priorityqueue,20,0.0032869829999997435,1655190.0
2020,adaptable_heap_priorityqueue,20,0.003158061999999795,1722174.0
2020,bounded_heap_queue,20,0.000332833000000754,0.0
2232,bruteforce,20,0.0011286739999993856,1113577.0
2232,unsorted_priorityqueue,20,0.014501259999999405,12830217.0
2232,sorted_priorityqueue,20,0.003945904000000056,2417995.0
2232,heap_priorityqueue,20,0.003267726999999887,1772775.0
2232,adaptable_heap_priorityqueue,20,0.0032806230000002046,1785385.0
2232,bounded_heap_queue,20,8.102199999981963e-05,0.0
2409,bruteforce,20,0.0012063980000007746,1191851.0
2409,unsorted_priorityqueue,20,0.016005030999999725,14209924.0
2409,sorted_priorityqueue,20,0.004278128999999353,2622042.0
2409,heap_priorityqueue,20,0.0035348900000000683,1919977.0
2409,adaptable_heap_priorityqueue,20,0.0035306070000000744,1932663.0
2409,bounded_heap_queue,20,8.763399999978105e-05,0.0
